GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nart,com.nart.handler,AllExceptionHander,5,3,0,0,2,1,1,1,1,1
nart,com.nart.handler,LoginInterceptor,79,7,6,0,25,2,6,2,3,2
nart,com.nart,TestApplication,5,3,0,0,2,1,1,1,1,1
nart,com.nart.util,SpringUtil,15,22,0,2,4,6,4,4,4,3
nart,com.nart.util,ErrorCode,538,0,0,0,46,0,6,0,6,0
nart,com.nart.util,UserThreadLocal,7,9,0,0,4,2,2,2,2,2
nart,com.nart.util,RandomContentGenerator,126,0,12,0,29,0,13,0,7,0
nart,com.nart.util,RedisUtil,329,8,22,0,73,2,44,2,33,2
nart,com.nart.util,CopyUtil,101,0,6,0,22,0,7,0,4,0
nart,com.nart.util,FakeDataGenerator,795,178,45,13,185,40,39,12,16,6
nart,com.nart.util,GsonFormatter,17,0,0,0,4,0,4,0,4,0
nart,com.nart.util,Result,256,0,38,0,9,0,35,0,16,0
nart,com.nart.util,EncryptUtil,124,0,0,0,28,0,6,0,6,0
nart,com.nart.config,WebSocketConfig,7,0,0,0,2,0,2,0,2,0
nart,com.nart.config,MybatisPlusConfig,0,14,0,0,0,4,0,2,0,2
nart,com.nart.config,RedisConfig,0,35,0,0,0,8,0,2,0,2
nart,com.nart.config,WebMVCConfig,0,83,0,0,0,12,0,3,0,3
nart,com.nart.config,ThreadPoolConfig,0,29,0,0,0,10,0,2,0,2
nart,com.nart.vo,CommentVo,245,0,38,0,14,0,33,0,14,0
nart,com.nart.vo,FriendVo,279,3,46,0,12,1,38,1,15,1
nart,com.nart.vo,DateVo,195,70,16,0,25,6,13,12,5,12
nart,com.nart.vo,WSMsg,341,0,62,0,8,0,50,0,19,0
nart,com.nart.vo,UserVo,422,0,70,0,19,0,57,0,22,0
nart,com.nart.vo,RequestVo,216,100,54,0,0,12,30,15,3,15
nart,com.nart.vo,PageVo,102,0,10,0,4,0,15,0,10,0
nart,com.nart.vo,GroupVo,329,0,54,0,15,0,45,0,18,0
nart,com.nart.vo,MessageVo,504,3,78,0,29,1,63,1,24,1
nart,com.nart.vo,InviteVo,356,3,62,0,12,1,50,1,19,1
nart,com.nart.vo,StatusVo,661,3,86,0,66,1,70,1,27,1
nart,com.nart.util.upload,IpUtils,107,0,28,0,25,0,18,0,4,0
nart,com.nart.util.upload,ImgtuUtil,743,0,60,0,145,0,48,0,18,0
nart,com.nart.util.upload,FileType,77,0,12,0,21,0,11,0,4,0
nart,com.nart.util.upload,HttpUtil,210,0,14,0,48,0,14,0,7,0
nart,com.nart.util.upload,HttpContextUtils,8,0,0,0,2,0,2,0,2,0
nart,com.nart.util.upload,TypeDict,19,0,4,0,6,0,5,0,2,0
nart,com.nart.pojo,UserLike,169,0,30,0,4,0,26,0,11,0
nart,com.nart.pojo,GroupChat,324,0,56,0,8,0,47,0,19,0
nart,com.nart.pojo,Comment,216,82,54,0,0,7,30,14,3,14
nart,com.nart.pojo,Group,393,0,66,0,10,0,56,0,23,0
nart,com.nart.pojo,User,595,73,120,0,5,11,74,21,14,21
nart,com.nart.pojo,FriendReq,223,32,46,0,2,4,29,9,6,9
nart,com.nart.pojo,Status,265,102,64,0,0,9,36,17,4,17
nart,com.nart.pojo,FriendChat,279,45,56,0,1,7,34,13,6,13
nart,com.nart.pojo,GroupInvite,275,23,54,0,6,1,38,6,11,6
nart,com.nart.pojo,Message,281,0,48,0,7,0,41,0,17,0
nart,com.nart.pojo,DataCounter,213,0,24,0,7,0,29,0,17,0
nart,com.nart.pojo,UserGroup,264,0,42,0,7,0,38,0,17,0
nart,com.nart.pojo,Friend,530,26,102,0,11,2,73,7,22,7
nart,com.nart.controller,UploadController,43,3,2,0,10,1,3,1,2,1
nart,com.nart.controller,StatusController,254,3,16,0,60,1,12,1,4,1
nart,com.nart.controller,UserController,98,3,6,0,21,1,9,1,6,1
nart,com.nart.controller,ChatController,153,3,18,0,39,1,12,1,3,1
nart,com.nart.controller,GroupController,150,3,18,0,41,1,18,1,9,1
nart,com.nart.controller,FriendController,149,3,20,0,40,1,18,1,8,1
nart,com.nart.controller,CommentController,58,3,6,0,14,1,5,1,2,1
nart,com.nart.common,LogBspect,95,7,4,0,23,2,5,1,3,1
nart,com.nart.common,ChatEndPoint,129,8,4,0,36,2,7,2,5,2
nart,com.nart.common,GetHttpSessionConfigurator,15,0,0,0,4,0,2,0,2,0
nart,com.nart.common,LogAspect,307,79,14,0,67,3,12,2,5,2
nart,com.nart.service.impl,CommentServiceImpl,9,86,2,2,1,21,1,4,0,3
nart,com.nart.service.impl,UserServiceImpl,378,3,34,0,86,1,26,1,9,1
nart,com.nart.service.impl,DataCounterServiceImpl,35,48,5,5,10,16,5,6,0,6
nart,com.nart.service.impl,GroupServiceImpl,614,12,31,1,141,3,26,2,10,2
nart,com.nart.service.impl,LoginServiceImpl,220,3,22,0,41,1,15,1,4,1
nart,com.nart.service.impl,FriendServiceImpl,433,87,26,2,97,18,21,3,8,2
nart,com.nart.service.impl,LoadDataInDataBaseImpl,90,21,10,2,20,5,10,3,5,2
nart,com.nart.service.impl,StatusServiceImpl,88,188,12,12,17,39,10,9,3,4
nart,com.nart.service.impl,ChatServiceImpl,355,3,18,0,79,1,18,1,9,1
